"from_function","from_entry","from_addr","to_symbol","to_addr","ref_type","is_call","is_data"
"FUN_00f808f0","00f808f0","00f808fd","","Stack[0x0]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80900","","Stack[-0xc]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80908","LAB_0196a5a6","0196a5a6","DATA","false","true"
"FUN_00f808f0","00f808f0","00f8090d","ExceptionList","ffdff000","READ","false","true"
"FUN_00f808f0","00f808f0","00f8091b","DAT_01bbb1c0","01bbb1c0","READ","false","true"
"FUN_00f808f0","00f808f0","00f80922","","Stack[-0x24]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80928","","Stack[-0x1c]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f8092b","ExceptionList","ffdff000","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80933","","Stack[-0x47c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80939","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f8093e","DAT_01bfb2c4","01bfb2c4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80950","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80974","DAT_01bfb2a0","01bfb2a0","READ","false","true"
"FUN_00f808f0","00f808f0","00f8097c","LAB_00f80989","00f80989","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f8097e","FUN_00f54dc0","00f54dc0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80983","DAT_01bfb2a0","01bfb2a0","READ","false","true"
"FUN_00f808f0","00f808f0","00f80989","DAT_01bfb2d8","01bfb2d8","READ","false","true"
"FUN_00f808f0","00f808f0","00f8098e","DAT_01bb97a0","01bb97a0","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f8099e","LAB_00f809b2","00f809b2","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f809a0","DAT_01b027a8","01b027a8","READ","false","true"
"FUN_00f808f0","00f808f0","00f809a8","s_Enchant_Room.mp3_01ac8de8","01ac8de8","DATA","false","true"
"FUN_00f808f0","00f808f0","00f809ad","FUN_00f547c0","00f547c0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f809b2","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f809b8","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f809bc","","Stack[-0x34]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f809bf","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f809ca","FUN_00f1b390","00f1b390","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f809cf","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f809d6","LAB_00f809eb","00f809eb","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f809df","LAB_00f809eb","00f809eb","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f809e4","LAB_00f809eb","00f809eb","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f809e9","LAB_00f809ed","00f809ed","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f809ee","FUN_01467b00","01467b00","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f809f3","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f809fd","FUN_01293d20","01293d20","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80a04","LAB_00f80a46","00f80a46","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a06","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a0c","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80a10","","Stack[-0x34]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80a13","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80a1e","FUN_00f1b390","00f1b390","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80a23","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a2a","LAB_00f80a3f","00f80a3f","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a33","LAB_00f80a3f","00f80a3f","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a38","LAB_00f80a3f","00f80a3f","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a3d","LAB_00f80a41","00f80a41","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a41","FUN_012eba00","012eba00","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80a46","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a50","FUN_01293d20","01293d20","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80a57","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a59","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a5e","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80a65","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80a6c","","Stack[-0x34]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80a6f","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80a78","FUN_00f1b390","00f1b390","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80a7d","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a84","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a8d","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a8f","","Stack[-0x46c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80a97","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80a9e","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80aab","LAB_00f80ab6","00f80ab6","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ab6","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80ac0","FUN_01293d20","01293d20","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80ac7","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ac9","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80ace","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80ad5","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80adc","","Stack[-0x34]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80adf","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80ae8","FUN_00f1b390","00f1b390","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80aed","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80af4","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80afd","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80aff","","Stack[-0x46c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80b07","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80b0e","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80b1b","LAB_00f80b26","00f80b26","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80b26","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80b2d","LAB_00f80b5c","00f80b5c","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80b38","FUN_01293d20","01293d20","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80b3f","LAB_00f80b5c","00f80b5c","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80b41","DAT_01bfe464","01bfe464","READ","false","true"
"FUN_00f808f0","00f808f0","00f80b47","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80b50","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b57","FUN_014414a0","014414a0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80b5f","","Stack[-0x38]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b66","","Stack[-0x48]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b6a","","Stack[-0x48]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b71","","Stack[-0x44]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b78","","Stack[-0x40]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b7f","","Stack[-0x3c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b86","","Stack[-0x38]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b8d","","Stack[-0x28]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80b90","","Stack[-0x14]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80b98","","Stack[-0x48]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80b9b","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80ba2","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80bac","FUN_00f5dab0","00f5dab0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80bb1","","Stack[-0x46c]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80bba","FUN_00f5dab0","00f5dab0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80bbf","DAT_01bfe464","01bfe464","READ","false","true"
"FUN_00f808f0","00f808f0","00f80bc5","","Stack[-0x48]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80bce","FUN_014414a0","014414a0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80bd3","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80bdb","LAB_00f80c05","00f80c05","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80be1","FUN_01293d20","01293d20","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80be8","LAB_00f80c05","00f80c05","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80bea","DAT_01bfb8cc","01bfb8cc","READ","false","true"
"FUN_00f808f0","00f808f0","00f80bf8","FUN_012945f0","012945f0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80bff","LAB_00f80c05","00f80c05","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80c05","DAT_01bfb2a8","01bfb2a8","READ","false","true"
"FUN_00f808f0","00f808f0","00f80c2a","DAT_01bfb2a8","01bfb2a8","READ","false","true"
"FUN_00f808f0","00f808f0","00f80c37","DAT_01b02b3c","01b02b3c","READ","false","true"
"FUN_00f808f0","00f808f0","00f80c3f","","Stack[-0x468]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c4d","","Stack[-0x480]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80c58","","Stack[-0x478]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80c60","VCRUNTIME140.DLL::memset","01831f34","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80c68","","Stack[-0x468]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c6e","FUN_0169ab10","0169ab10","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80c73","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","01ac8dfc","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c78","","Stack[-0x468]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c7e","","Stack[-0x14]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80c82","FUN_0169c4f0","0169c4f0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80c89","LAB_00f80ca4","00f80ca4","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80c8b","s_Data/etcobject/DatsCenter/F_DATS_01ac8dfc","01ac8dfc","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c90","DAT_01ac8e28","01ac8e28","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80c97","FUN_015aa730","015aa730","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80c9f","LAB_00f813e3","00f813e3","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ca4","","Stack[-0x30c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80cac","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80cb2","","Stack[-0x470]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80cba","LAB_00f80cc1","00f80cc1","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80cbf","LAB_00f80cc7","00f80cc7","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80cc1","","Stack[-0x470]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80ccc","","Stack[-0x14]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80cd0","FUN_01489f70","01489f70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80ce6","LAB_00f80cf1","00f80cf1","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ce8","","Stack[-0x470]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80cf1","FUN_01487b70","01487b70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80cf6","","Stack[-0x478]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80d04","","Stack[-0x480]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80d0d","DAT_01bee678","01bee678","READ","false","true"
"FUN_00f808f0","00f808f0","00f80d2a","","Stack[-0x4b0]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80d31","FUN_016a0910","016a0910","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80d3c","FUN_01692d50","01692d50","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80d4e","FUN_01692c40","01692c40","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80d53","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","01ac8e54","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80d58","","Stack[-0x468]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80d5e","FUN_0169c4f0","0169c4f0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80d65","LAB_00f80d71","00f80d71","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80d67","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","01ac8e54","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80d6c","LAB_00f80e66","00f80e66","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80d71","","Stack[-0x30c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80d79","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80d81","LAB_00f80db1","00f80db1","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80d85","LAB_00f80da4","00f80da4","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80d87","","Stack[-0x470]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80d95","LAB_00f80da4","00f80da4","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80d9e","","Stack[-0x46c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80da6","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80dab","LAB_00f80db1","00f80db1","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80db6","FUN_01489f70","01489f70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80dcd","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80dd5","LAB_00f80ddc","00f80ddc","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80dda","LAB_00f80de2","00f80de2","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ddc","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80de2","FUN_01487b70","01487b70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80dea","","Stack[-0x4b0]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80df1","","Stack[-0x480]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80dfd","DAT_01bee678","01bee678","READ","false","true"
"FUN_00f808f0","00f808f0","00f80e14","FUN_016a0910","016a0910","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80e19","DAT_01b02768","01b02768","READ","false","true"
"FUN_00f808f0","00f808f0","00f80e2a","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80e2a","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e31","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80e3b","","Stack[-0x4a0]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80e3b","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e42","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e45","FUN_0148a890","0148a890","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80e4d","","Stack[-0x468]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e53","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","01ac8e84","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e58","FUN_0169c4f0","0169c4f0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80e5f","LAB_00f80e7b","00f80e7b","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80e61","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","01ac8e84","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e66","s_Data/etcobject/DatsCenter/C_Grad_01ac8e54","01ac8e54","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e66","s_Data/etcobject/DatsCenter/D_Grad_01ac8e84","01ac8e84","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e67","DAT_01ac8e28","01ac8e28","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80e6e","FUN_015aa730","015aa730","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80e76","LAB_00f813c9","00f813c9","UNCONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80e7b","","Stack[-0x30c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80e83","","Stack[-0x470]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80e8b","LAB_00f80ebb","00f80ebb","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80e8f","LAB_00f80eae","00f80eae","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80e91","","Stack[-0x46c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80e9f","LAB_00f80eae","00f80eae","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ea8","","Stack[-0x470]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80eb0","","Stack[-0x28]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80eb5","LAB_00f80ebb","00f80ebb","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80ec0","FUN_01489f70","01489f70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80ed6","LAB_00f80edc","00f80edc","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80edc","FUN_01487b70","01487b70","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80ee4","","Stack[-0x4b0]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80eeb","","Stack[-0x480]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80ef7","DAT_01bee678","01bee678","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f0e","FUN_016a0910","016a0910","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80f13","","Stack[-0x4a0]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f23","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80f23","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80f2a","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f31","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f80f34","FUN_0148a890","0148a890","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80f39","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f42","DAT_01b02b34","01b02b34","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f4a","DAT_01b02b30","01b02b30","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f52","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80f64","DAT_01b02aac","01b02aac","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f74","DAT_01b02b30","01b02b30","READ","false","true"
"FUN_00f808f0","00f808f0","00f80f7b","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f80f84","LAB_00f80fa2","00f80fa2","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80f92","LAB_00f80fa2","00f80fa2","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80fa0","LAB_00f80fb3","00f80fb3","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f80fa2","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f80fad","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80fb3","DAT_01b02ad4","01b02ad4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80fbd","DAT_01b025b8","01b025b8","READ","false","true"
"FUN_00f808f0","00f808f0","00f80fc5","FUN_0147ab50","0147ab50","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f80fca","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80fd0","DAT_01b029d4","01b029d4","READ","false","true"
"FUN_00f808f0","00f808f0","00f80ffe","LAB_00f8100c","00f8100c","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f81000","DAT_01b02a54","01b02a54","READ","false","true"
"FUN_00f808f0","00f808f0","00f8100e","DAT_01b03420","01b03420","READ","false","true"
"FUN_00f808f0","00f808f0","00f81016","","Stack[-0x478]","READ","false","true"
"FUN_00f808f0","00f808f0","00f8102c","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81033","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f8103e","DAT_01b02a50","01b02a50","READ","false","true"
"FUN_00f808f0","00f808f0","00f81058","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f81067","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f81074","LAB_00f8108f","00f8108f","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f81081","LAB_00f8108f","00f8108f","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f810a2","","Stack[-0x2c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f810a9","","Stack[-0x2c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f810b4","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f810c6","FUN_01692c40","01692c40","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f810cb","DAT_01b02a50","01b02a50","READ","false","true"
"FUN_00f808f0","00f808f0","00f810e8","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f810f7","DAT_01bfc3b4","01bfc3b4","READ","false","true"
"FUN_00f808f0","00f808f0","00f81107","LAB_00f81116","00f81116","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f81114","LAB_00f8111e","00f8111e","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f81128","","Stack[-0x4c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81128","DAT_3f800000","3f800000","DATA","false","true"
"FUN_00f808f0","00f808f0","00f8112f","","Stack[-0x58]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81136","","Stack[-0x54]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f8113d","","Stack[-0x50]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81144","","Stack[-0x470]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f8114c","s_Digimon_Box01_01ac8eb4","01ac8eb4","DATA","false","true"
"FUN_00f808f0","00f808f0","00f81154","FUN_01694ab0","01694ab0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f8115c","","Stack[-0x46c]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81162","","Stack[-0x470]","READ","false","true"
"FUN_00f808f0","00f808f0","00f81168","","Stack[-0x46c]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f8116f","","Stack[-0x14]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f81177","","Stack[-0x14]","WRITE","false","true"
"FUN_00f808f0","00f808f0","00f8117b","","Stack[-0x46c]","READ","false","true"
"FUN_00f808f0","00f808f0","00f81181","DAT_01a1e870","01a1e870","READ","false","true"
"FUN_00f808f0","00f808f0","00f81187","LAB_00f811b0","00f811b0","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f8119b","LAB_00f811b0","00f811b0","CONDITIONAL_JUMP","false","false"
"FUN_00f808f0","00f808f0","00f8119e","DAT_01beee98","01beee98","READ","false","true"
"FUN_00f808f0","00f808f0","00f811a4","","Stack[-0x46c]","DATA","false","true"
"FUN_00f808f0","00f808f0","00f811ab","FUN_01694dd0","01694dd0","UNCONDITIONAL_CALL","true","false"
"FUN_00f808f0","00f808f0","00f811b0","","Stack[-0x14]","WRITE","false","true"
